target,occurrence,person,audio,subid,trial,leftpic,rightpic,correct,subject
E1,2,child,36_35,36,35,E1,B1,Y,60
F1,2,parent,32_40,32,40,F1,C1,N,60
G1,2,parent,14_32,14,32,K1,G1,Y,60
H1,2,parent,09_40,9,40,D1,H1,Y,60
I1,1,parent,40_09,40,9,B1,I1,Y,60
K1,1,parent,27_40,27,40,D1,K1,Y,60
A1,2,parent,13_32,13,32,I1,A1,Y,61
B1,2,child,26_37,26,37,I1,B1,Y,61
C1,2,child,31_35,31,35,E1,C1,Y,61
D1,2,parent,56_32,56,32,D1,F1,Y,61
E1,2,parent,57_34,57,34,E1,A1,Y,61
F1,1,parent,56_05,56,5,F1,K1,N,61
G1,1,parent,16_03,16,3,D1,G1,Y,61
H1,1,parent,64_09,64,9,C1,H1,Y,61
I1,1,child,61_02,61,2,B1,I1,Y,61
K1,1,child,37_08,37,8,F1,K1,Y,61
A1,2,parent,46_40,46,40,I1,A1,Y,62
B1,2,parent,12_36,12,36,C1,B1,Y,62
C1,2,parent,40_32,40,32,C1,A1,Y,62
D1,1,parent,44_09,44,9,E1,D1,Y,62
E1,1,parent,10_01,10,1,A1,E1,Y,62
F1,1,child,40_06,40,6,F1,C1,Y,62
G1,1,child,57_04,57,4,E1,G1,Y,62
H1,1,child,30_02,30,2,H1,D1,Y,62
I1,2,child,15_31,15,31,I1,E1,Y,62
K1,2,child,45_31,45,31,K1,B1,Y,62
A1,1,parent,47_09,47,9,A1,K1,Y,63
B1,1,parent,20_01,20,1,C1,B1,Y,63
C1,1,parent,35_09,35,9,C1,H1,N,63
D1,1,child,69_02,69,2,K1,D1,Y,63
E1,1,child,45_06,45,6,I1,E1,Y,63
F1,2,child,66_39,66,39,C1,F1,Y,63
G1,2,child,56_33,56,33,G1,C1,N,63
H1,2,child,55_33,55,33,H1,D1,Y,63
I1,2,parent,20_36,20,36,A1,I1,Y,63
K1,2,parent,35_36,35,36,A1,K1,Y,63
A1,1,child,65_08,65,8,I1,A1,Y,64
B1,1,child,74_04,74,4,C1,B1,Y,64
C1,1,child,40_02,40,2,H1,C1,Y,64
D1,2,child,66_37,66,37,D1,H1,Y,64
E1,2,child,16_31,16,31,E1,B1,Y,64
F1,2,parent,58_34,58,34,B1,F1,Y,64
G1,2,parent,69_32,69,32,D1,G1,Y,64
H1,2,parent,60_40,60,40,D1,H1,Y,64
I1,1,parent,52_07,52,7,E1,I1,Y,64
K1,1,parent,10_05,10,5,D1,K1,Y,64
A1,2,parent,51_38,51,38,I1,A1,Y,65
B1,2,child,20_37,20,37,I1,B1,Y,65
C1,2,child,15_39,15,39,C1,I1,Y,65
D1,2,parent,42_34,42,34,D1,K1,Y,65
E1,2,parent,42_38,42,38,I1,E1,Y,65
F1,1,parent,70_09,70,9,G1,F1,Y,65
G1,1,parent,38_09,38,9,G1,D1,Y,65
H1,1,parent,38_05,38,5,D1,H1,Y,65
I1,1,child,51_08,51,8,A1,I1,Y,65
K1,1,child,16_04,16,4,K1,F1,N,65
A1,2,parent,37_38,37,38,H1,A1,Y,66
B1,2,parent,60_36,60,36,C1,B1,Y,66
C1,2,parent,62_32,62,32,C1,I1,Y,66
D1,1,parent,49_07,49,7,F1,D1,Y,66
E1,1,parent,55_07,55,7,A1,E1,Y,66
F1,1,child,35_10,35,10,F1,K1,Y,66
G1,1,child,62_04,62,4,C1,G1,Y,66
H1,1,child,05_06,5,6,E1,H1,Y,66
I1,2,child,52_33,52,33,A1,I1,Y,66
K1,2,child,61_39,61,39,D1,K1,Y,66
A1,1,parent,73_07,73,7,D1,A1,Y,67
B1,1,parent,34_01,34,1,B1,D1,Y,67
C1,1,parent,69_09,69,9,I1,C1,N,67
D1,1,child,42_06,42,6,D1,E1,Y,67
E1,1,child,43_08,43,8,I1,E1,Y,67
F1,2,child,65_35,65,35,F1,K1,Y,67
G1,2,child,13_37,13,37,G1,K1,Y,67
H1,2,child,28_33,28,33,E1,H1,N,67
I1,2,parent,73_36,73,36,I1,E1,Y,67
K1,2,parent,34_38,34,38,K1,D1,Y,67
A1,1,child,37_10,37,10,K1,A1,Y,68
B1,1,child,50_06,50,6,K1,B1,Y,68
C1,1,child,20_02,20,2,C1,E1,Y,68
D1,2,child,60_39,60,39,D1,E1,Y,68
E1,2,child,56_31,56,31,E1,I1,Y,68
F1,2,parent,13_34,13,34,F1,K1,Y,68
G1,2,parent,28_38,28,38,G1,K1,Y,68
H1,2,parent,11_34,11,34,C1,H1,Y,68
I1,1,parent,04_03,4,3,B1,I1,Y,68
K1,1,parent,39_05,39,5,B1,K1,Y,68
A1,2,parent,14_36,14,36,D1,A1,Y,69
B1,2,child,62_39,62,39,B1,D1,Y,69
C1,2,child,57_35,57,35,I1,C1,Y,69
D1,2,parent,68_36,68,36,K1,D1,Y,69
E1,2,parent,26_38,26,38,I1,E1,Y,69
F1,1,parent,21_09,21,9,F1,B1,Y,69
G1,1,parent,30_01,30,1,C1,G1,Y,69
H1,1,parent,51_07,51,7,E1,H1,Y,69
I1,1,child,28_02,28,2,E1,I1,N,69
K1,1,child,36_08,36,8,D1,K1,Y,69
A1,2,parent,45_38,45,38,A1,H1,Y,70
B1,2,parent,50_34,50,34,I1,B1,Y,70
C1,2,parent,39_38,39,38,C1,E1,Y,70
D1,1,parent,14_01,14,1,F1,D1,Y,70
E1,1,parent,16_01,16,1,H1,E1,Y,70
F1,1,child,61_06,61,6,C1,F1,Y,70
G1,1,child,50_08,50,8,C1,G1,Y,70
H1,1,child,71_02,71,2,H1,E1,Y,70
I1,2,child,65_31,65,31,C1,I1,Y,70
K1,2,child,50_31,50,31,K1,A1,Y,70
A1,1,parent,38_07,38,7,A1,H1,N,71
B1,1,parent,27_01,27,1,B1,C1,Y,71
C1,1,parent,49_01,49,1,C1,E1,Y,71
D1,1,child,54_10,54,10,K1,D1,Y,71
E1,1,child,12_10,12,10,A1,E1,N,71
F1,2,child,44_33,44,33,F1,G1,Y,71
G1,2,child,11_37,11,37,K1,G1,Y,71
H1,2,child,51_31,51,31,H1,D1,Y,71
I1,2,parent,75_34,75,34,C1,I1,Y,71
K1,2,parent,68_34,68,34,B1,K1,Y,71
A1,1,child,39_10,39,10,D1,A1,Y,72
B1,1,child,38_39,38,39,B1,D1,Y,72
C1,1,child,16_10,16,10,C1,E1,N,72
D1,2,child,44_35,44,35,D1,H1,Y,72
E1,2,child,35_39,35,39,E1,H1,Y,72
F1,2,parent,47_34,47,34,C1,F1,Y,72
G1,2,parent,62_34,62,34,G1,E1,Y,72
H1,2,parent,10_32,10,32,C1,H1,Y,72
I1,1,parent,32_01,32,1,E1,I1,Y,72
K1,1,parent,64_07,64,7,K1,B1,Y,72
