target,occurrence,person,audio,subid,trial,leftpic,rightpic,correct,subject
G1,2,child,45_33,45,33,D1,G1,Y,95
H1,2,child,32_35,32,35,E1,H1,Y,95
I1,2,parent,48_36,48,36,C1,I1,Y,95
K1,2,parent,32_36,32,36,A1,K1,Y,95
A1,1,child,36_06,36,6,D1,A1,Y,96
B1,1,parent,59_07,59,7,D1,B1,Y,96
C1,1,parent,53_09,53,9,A1,C1,Y,96
D1,2,child,14_33,14,33,D1,H1,Y,96
E1,2,child,60_35,60,35,H1,E1,Y,96
F1,2,child,52_37,52,37,C1,F1,Y,96
G1,2,parent,57_36,57,36,D1,G1,Y,96
H1,2,parent,72_36,72,36,D1,H1,Y,96
I1,1,parent,37_05,37,5,C1,I1,Y,96
K1,1,parent,04_01,4,1,K1,F1,Y,96
A1,2,child,56_37,56,37,I1,A1,Y,97
B1,2,child,52_35,52,35,C1,B1,Y,97
C1,2,parent,66_40,66,40,C1,E1,Y,97
D1,2,parent,50_32,50,32,K1,D1,Y,97
E1,2,parent,31_34,31,34,B1,E1,Y,97
F1,1,child,42_04,42,4,F1,B1,Y,97
G1,1,parent,10_09,10,9,D1,G1,Y,97
H1,1,parent,68_05,68,5,A1,H1,Y,97
I1,1,child,09_04,9,4,I1,A1,Y,97
K1,1,child,21_10,21,10,K1,D1,N,97
A1,2,parent,48_40,48,40,A1,I1,Y,98
B1,2,child,72_37,72,37,C1,B1,N,98
C1,2,parent,52_38,52,38,H1,C1,Y,98
D1,1,parent,09_05,9,5,F1,D1,Y,98
E1,1,parent,60_05,60,5,E1,A1,Y,98
F1,1,parent,74_07,74,7,F1,C1,Y,98
G1,1,child,48_04,48,4,G1,K1,Y,98
H1,1,child,67_04,67,4,A1,H1,Y,98
I1,2,child,05_39,5,39,I1,C1,Y,98
K1,2,child,13_33,13,33,F1,K1,Y,98
A1,1,parent,69_03,69,3,H1,A1,Y,99
B1,1,child,05_04,5,4,I1,B1,Y,99
C1,1,parent,61_03,61,3,H1,C1,Y,99
D1,1,child,74_08,74,8,D1,F1,Y,99
E1,1,child,57_02,57,2,I1,E1,Y,99
F1,2,child,21_35,21,35,C1,F1,Y,99
G1,2,child,07_37,7,37,G1,E1,Y,99
H1,2,child,43_35,43,35,H1,E1,Y,99
I1,2,parent,34_36,34,36,I1,C1,Y,99
A1,1,child,40_10,40,10,A1,H1,Y,100
B1,1,parent,61_05,61,5,I1,B1,Y,100
C1,1,child,39_04,39,4,C1,A1,Y,100
D1,2,child,10_35,10,35,D1,H1,Y,100
E1,2,child,10_31,10,31,E1,B1,Y,100
F1,2,child,56_39,56,39,G1,F1,Y,100
G1,2,parent,49_34,49,34,G1,K1,Y,100
H1,2,parent,56_38,56,38,H1,E1,N,100
I1,1,parent,59_05,59,5,A1,I1,Y,100
K1,1,parent,70_07,70,7,K1,D1,Y,100
A1,2,child,38_35,38,35,I1,A1,N,101
B1,2,child,42_33,42,33,B1,I1,Y,101
C1,2,child,64_31,64,31,C1,H1,Y,101
D1,2,parent,55_38,55,38,D1,H1,Y,101
E1,2,parent,40_36,40,36,I1,E1,Y,101
F1,1,child,51_10,51,10,B1,F1,Y,101
G1,1,parent,47_01,47,1,D1,G1,Y,101
H1,1,parent,59_01,59,1,H1,D1,N,101
I1,1,child,49_10,49,10,B1,I1,Y,101
K1,1,child,60_04,60,4,F1,K1,Y,101
A1,2,parent,53_36,53,36,D1,A1,Y,102
B1,2,child,59_33,59,33,B1,C1,Y,102
C1,2,parent,18_32,18,32,C1,I1,Y,102
D1,1,parent,48_07,48,7,D1,F1,Y,102
E1,1,parent,36_01,36,1,E1,A1,Y,102
F1,1,parent,26_03,26,3,B1,F1,Y,102
G1,1,child,74_02,74,2,K1,G1,Y,102
H1,1,child,61_10,61,10,H1,C1,Y,102
I1,2,child,50_35,50,35,B1,I1,Y,102
K1,2,child,46_33,46,33,K1,B1,Y,102
A1,1,parent,71_05,71,5,K1,A1,Y,103
B1,1,child,30_04,30,4,B1,C1,Y,103
C1,1,parent,54_09,54,9,E1,C1,Y,103
D1,1,child,68_10,68,10,D1,E1,Y,103
E1,1,child,11_02,11,2,B1,E1,Y,103
F1,2,child,18_33,18,33,F1,K1,Y,103
G1,2,child,31_33,31,33,E1,G1,Y,103
H1,2,child,46_37,46,37,H1,D1,Y,103
A1,1,child,30_10,30,10,H1,A1,Y,104
B1,1,parent,31_07,31,7,I1,B1,Y,104
C1,1,child,52_06,52,6,C1,A1,Y,104
D1,2,child,49_31,49,31,D1,E1,Y,104
E1,2,child,18_31,18,31,E1,H1,Y,104
F1,2,child,26_35,26,35,C1,F1,Y,104
G1,2,parent,71_32,71,32,G1,D1,Y,104
H1,2,child,62_35,62,35,A1,H1,Y,104
I1,1,parent,31_40,31,40,E1,I1,Y,104
K1,1,parent,56_07,56,7,D1,K1,Y,104
A1,2,child,47_39,47,39,H1,A1,Y,105
B1,2,child,10_37,10,37,I1,B1,Y,105
C1,2,child,26_33,26,33,E1,C1,Y,105
D1,2,parent,72_32,72,32,H1,D1,Y,105
E1,2,child,32_33,32,33,E1,B1,Y,105
F1,1,child,62_08,62,8,F1,K1,Y,105
G1,1,parent,73_09,73,9,C1,G1,Y,105
H1,1,child,16_08,16,8,H1,C1,Y,105
I1,1,child,12_04,12,4,I1,B1,Y,105
K1,1,child,34_10,34,10,K1,A1,Y,105
A1,2,parent,27_32,27,32,A1,H1,Y,106
B1,2,child,16_39,16,39,B1,C1,Y,106
D1,1,parent,38_01,38,1,K1,D1,Y,106
E1,1,child,34_02,34,2,E1,A1,Y,106
F1,1,parent,36_03,36,3,F1,B1,Y,106
G1,1,child,28_04,28,4,G1,E1,N,106
H1,1,parent,48_05,48,5,E1,H1,N,106
I1,2,child,21_39,21,39,A1,I1,Y,106
K1,2,child,57_33,57,33,A1,K1,Y,106
A1,1,parent,44_03,44,3,A1,D1,Y,107
B1,1,child,67_10,67,10,B1,D1,Y,107
C1,1,parent,34_03,34,3,A1,C1,Y,107
D1,1,child,34_04,34,4,D1,F1,Y,107
E1,1,parent,53_07,53,7,E1,H1,Y,107
F1,2,child,68_35,68,35,F1,C1,Y,107
G1,2,child,16_35,16,35,G1,E1,Y,107
H1,2,child,40_37,40,37,H1,E1,Y,107
A1,1,child,52_04,52,4,K1,A1,N,108
B1,1,parent,51_05,51,5,B1,K1,Y,108
C1,1,child,33_08,33,8,A1,C1,Y,108
D1,2,child,37_37,37,37,K1,D1,Y,108
E1,2,child,37_31,37,31,E1,I1,Y,108
F1,2,child,48_35,48,35,F1,K1,Y,108
G1,2,parent,09_34,9,34,E1,G1,Y,108
H1,2,child,20_31,20,31,C1,H1,Y,108
I1,1,parent,60_09,60,9,C1,I1,N,108
K1,1,parent,50_01,50,1,B1,K1,Y,108
A1,2,child,11_31,11,31,K1,A1,Y,109
B1,2,child,27_33,27,33,K1,B1,Y,109
C1,2,child,14_35,14,35,I1,C1,Y,109
E1,2,child,66_35,66,35,E1,B1,Y,109
F1,1,child,59_10,59,10,F1,K1,Y,109
G1,1,parent,58_07,58,7,E1,G1,Y,109
H1,1,child,27_10,27,10,H1,A1,Y,109
I1,1,child,68_04,68,4,I1,E1,N,109
K1,1,child,72_02,72,2,D1,K1,Y,109
A1,2,child,12_35,12,35,K1,A1,N,110
D1,1,parent,62_01,62,1,D1,F1,Y,110
E1,1,child,07_10,7,10,I1,E1,Y,110
F1,1,parent,33_03,33,3,B1,F1,Y,110
