Timeline.ordinal,subid,type,trial,target,person,utterance,selection
31,40,test,3,D1,child,,child
76,40,test,19,D1,parent,This guy is reading something,
77,40,test,19,D1,parent,,parent
97,40,test,27,D1,child,The reader,
98,40,test,27,D1,child,,child
109,40,test,31,D1,child,Reader,
110,40,test,31,D1,parent,,parent
32,40,test,4,E1,child,This guy looks like he's jumping,
33,40,test,4,E1,parent,,parent
74,40,test,18,E1,parent,This guy's jumping in the air,
75,40,test,18,E1,child,,child
95,40,test,26,E1,child,The jumper,
96,40,test,26,E1,parent,,parent
119,40,test,36,E1,parent,The jumper,
120,40,test,36,E1,child,,child
36,40,test,6,F1,child,This guy kinda looks like he's running with his arms up like this,
37,40,test,6,F1,parent,,parent
58,40,test,12,F1,parent,This guy could be happily dancing with his hands in the air,
59,40,test,12,F1,child,,child
91,40,test,24,F1,child,The jumper,
92,40,test,24,F1,parent,,parent
136,40,test,40,F1,parent,The jumper,
137,40,test,40,F1,child,,child
41,40,test,8,G1,child,This guy,
42,40,test,8,G1,child,Is probably sitting on the chair,
43,40,test,8,G1,parent,Mmm,
45,40,test,8,G1,parent,,parent
46,40,test,8,G1,child,With his head down,
63,40,test,14,G1,parent,This guy looks like he's sitting,
64,40,test,14,G1,child,,child
65,40,test,14,G1,parent,in prayer with his head down,
99,40,test,28,G1,child,The sitter,
100,40,test,28,G1,parent,,parent
131,40,test,38,G1,parent,Alright the sitter,
132,40,test,38,G1,child,,child
38,40,test,7,H1,parent,This guy is standing up,
39,40,test,7,H1,child,,child
40,40,test,7,H1,parent,tall,
56,40,test,11,H1,child,This guy looks like he's standing,
57,40,test,11,H1,parent,,parent
102,40,test,29,H1,parent,The stander,
103,40,test,29,H1,child,,child
121,40,test,37,H1,child,The reader,
122,40,test,37,H1,parent,The reader?,
123,40,test,37,H1,child,He's like standing up and reading,
124,40,test,37,H1,parent,"Ahh, okay",
125,40,test,37,H1,child,like for marriage,
126,40,test,37,H1,parent,,parent
127,40,test,37,H1,parent,Gotcha,
128,40,test,37,H1,parent,Oh so like a priest,
129,40,test,37,H1,child,Yeah,
130,40,test,37,H1,parent,Cool,
47,40,test,9,I1,parent,This guy looks like he's a waiter,
48,40,test,9,I1,child,,child
49,40,test,9,I1,parent,bringing some food,
71,40,test,17,I1,child,This guy is serving a triangle,
72,40,test,17,I1,parent,Ooh,
73,40,test,17,I1,parent,,parent
84,40,test,21,I1,parent,It's the waiter,
85,40,test,21,I1,child,,child
117,40,test,35,I1,child,The waiter,
118,40,test,35,I1,parent,,parent
23,40,test,1,K1,parent,"This shape kinda looks like someone's bending over, and..",
25,40,test,1,K1,child,,child
26,40,test,1,K1,parent,Ooh,
60,40,test,13,K1,child,This guy has his arm out and he has triangle hat,
61,40,test,13,K1,parent,,parent
62,40,test,13,K1,parent,Oh I like the triangle hat description,
89,40,test,23,K1,parent,Triangle hat,
90,40,test,23,K1,child,,child
113,40,test,33,K1,child,Triangle hat,
114,40,test,33,K1,parent,,parent
19,40,test,,,parent,Alright are we good,
20,40,test,,,child,Yup,
21,40,test,,,parent,Alright sh let's begin,
22,40,test,,,parent,Oh alright,
53,40,test,,,parent,Good job time for the next round,
54,40,test,,,child,Ready,
55,40,test,,,parent,OK,
80,40,test,,,child,Time for the next round,
81,40,test,,,parent,"alright, are you ready?",
82,40,test,,,child,Yeah,
83,40,test,,,parent,OK good,
88,40,test,,,parent,Um,
101,40,test,,,parent,Hmmm,
106,40,test,,,parent,Are you ready for the next one,
107,40,test,,,child,Yup,
108,40,test,,,parent,Yup,
