Timeline.ordinal,subid,type,trial,target,person,utterance,selection
106,17,test,29,F1,parent,this person looks like they're doing orange justice,
107,17,test,29,F1,child,,child
110,17,test,31,F1,child,this is the person who's...,
111,17,test,31,F1,parent,,parent
48,17,test,8,G1,child,it's a sad lady with black hair,
49,17,test,8,G1,parent,what is she doing?,
50,17,test,8,G1,child,sitting down outside,
51,17,test,8,G1,parent,"okay, I need more, I need more information",
52,17,test,8,G1,child,and she's sitting on this- it's not the person who's on the ground,
53,17,test,8,G1,parent,,parent
71,17,test,16,G1,parent,this person is sitting at a stoop,
72,17,test,16,G1,child,,child
73,17,test,16,G1,child,yeah that's what I was talking about,
91,17,test,24,G1,child,it's um  the person um..,
92,17,test,24,G1,parent,,parent
125,17,test,38,G1,parent,this person may be using the bathroom,
126,17,test,38,G1,child,,child
32,17,test,4,H1,child,"it's a person with triangle head, he's doing this",
33,17,test,4,H1,parent,what else?,
34,17,test,4,H1,child,"I think it's, bringing xxx or something",
35,17,test,4,H1,parent,,parent
36,17,test,4,H1,parent,"Oh, like a servant",
80,17,test,20,H1,parent,this person is just standing still,
81,17,test,20,H1,child,,child
82,17,test,20,H1,parent,like he's talking to some people,
100,17,test,28,H1,child,it's the person laying down on the floor,
101,17,test,28,H1,parent,is it?,
102,17,test,28,H1,child,"I think, but it has a blue square on the other one",
103,17,test,28,H1,parent,"A what? no, describe it",
104,17,test,28,H1,child,the person who’s on their knees,
105,17,test,28,H1,parent,,parent
112,17,test,32,H1,parent,this person is standing up in front of people,
113,17,test,32,H1,child,,child
40,17,test,6,I1,child,"it's the same person again, the one like this!",
41,17,test,6,I1,parent,"tell me more! no, tell me more",
42,17,test,6,I1,child,he just bending down like this,
43,17,test,6,I1,parent,"Oh my gosh, this is tricky! Would you tell me more description?",
44,17,test,6,I1,child,"he likes to this, he's like this",
45,17,test,6,I1,parent,,parent
66,17,test,14,I1,parent,this is the new butler,
67,17,test,14,I1,child,,child
68,17,test,14,I1,parent,Can I give you some more tea?,
86,17,test,22,I1,child,it's the same person again,
87,17,test,22,I1,parent,,parent
129,17,test,40,I1,parent,this person,
130,17,test,40,I1,child,,child
54,17,test,9,K1,parent,"this person looks like a begger, saying give me some more",
55,17,test,9,K1,child,,child
74,17,test,17,K1,child,"this person is um, separate like that",
75,17,test,17,K1,parent,,parent
88,17,test,23,K1,parent,"this person is walking around, would you like some more tea?",
89,17,test,23,K1,child,,child
90,17,test,23,K1,child,"Sir, would you like some more tea, sir?",
118,17,test,35,K1,child,this person is skipping,
119,17,test,35,K1,parent,,parent
4,17,test,,,parent,"Alright, now you tell me",
24,17,test,,,parent,"Ready to start? This is the real game, you're ready?",
29,17,test,,,parent,"Not like the practice, huh?",
37,17,test,,,child,We got most of them right,
