age,person,subid,measure,score
4,parent,2,mtld,29.488372093023255
4,parent,2,types,75
4,parent,2,aoa,4.180539465420561
4,parent,2,log_freq,9852.768187648891
4,parent,5,mtld,25.666877085399946
4,parent,5,types,154
4,parent,5,aoa,4.193503464634147
4,parent,5,log_freq,10772.577546628407
4,parent,11,mtld,29.185185185185187
4,parent,11,types,101
4,parent,11,aoa,4.188761393574297
4,parent,11,log_freq,9082.022363965667
4,parent,15,mtld,21.92939706341768
4,parent,15,types,88
4,parent,15,aoa,4.164623212048193
4,parent,15,log_freq,10952.99881880463
4,parent,16,mtld,29.42263279445728
4,parent,16,types,93
4,parent,16,aoa,4.196152648026316
4,parent,16,log_freq,7575.856940144479
4,parent,18,mtld,23.7
4,parent,18,types,62
4,parent,18,aoa,4.203833477987422
4,parent,18,log_freq,6835.167961524233
4,parent,25,mtld,42.19811320754717
4,parent,25,types,217
4,parent,25,aoa,4.367963813602016
4,parent,25,log_freq,8202.690052847336
4,parent,26,mtld,38.394878951519935
4,parent,26,types,127
4,parent,26,aoa,4.275319210648148
4,parent,26,log_freq,7722.800472040668
4,parent,27,mtld,25.083333333333332
4,parent,27,types,74
4,parent,27,aoa,4.1210691690821255
4,parent,27,log_freq,9443.292223169461
4,parent,28,mtld,24.98663777537017
4,parent,28,types,93
4,parent,28,aoa,4.461928333333334
4,parent,28,log_freq,10214.691575889616
4,parent,35,mtld,22.562487046632125
4,parent,35,types,65
4,parent,35,aoa,3.8156675110132157
4,parent,35,log_freq,6534.353459445452
4,parent,38,mtld,16.69334582605092
4,parent,38,types,91
4,parent,38,aoa,4.152062208041958
4,parent,38,log_freq,9740.096668037844
4,parent,42,mtld,34.903225806451616
4,parent,42,types,125
4,parent,42,aoa,4.163297433155081
4,parent,42,log_freq,7091.168480260737
4,parent,44,mtld,30.946317341067946
4,parent,44,types,94
4,parent,44,aoa,4.275281836283186
4,parent,44,log_freq,7083.259673781017
4,parent,46,mtld,31.692154707698755
4,parent,46,types,187
4,parent,46,aoa,4.219664132897604
4,parent,46,log_freq,7762.7624417958905
4,parent,48,mtld,21.894736842105264
4,parent,48,types,64
4,parent,48,aoa,4.325058955128205
4,parent,48,log_freq,7123.0641025641025
4,parent,51,mtld,32.27500699571647
4,parent,51,types,128
4,parent,51,aoa,4.319460884146341
4,parent,51,log_freq,8589.92581300813
4,parent,53,mtld,30.39278349857317
4,parent,53,types,60
4,parent,53,aoa,4.3224174292452835
4,parent,53,log_freq,6293.8003144654085
4,parent,54,mtld,31.89189189189189
4,parent,54,types,172
4,parent,54,aoa,4.283852841981132
4,parent,54,log_freq,8489.647567517573
4,parent,56,mtld,41.11315646995127
4,parent,56,types,128
4,parent,56,aoa,4.241093330170778
4,parent,56,log_freq,8822.295233843062
4,parent,60,mtld,37.25208175624527
4,parent,60,types,107
4,parent,60,aoa,4.24925801754386
4,parent,60,log_freq,8974.71052631579
4,parent,61,mtld,26.102668548880878
4,parent,61,types,100
4,parent,61,aoa,4.2528787850746275
4,parent,61,log_freq,8504.222241732514
4,parent,64,mtld,25.367467624822215
4,parent,64,types,94
4,parent,64,aoa,4.106320311653117
4,parent,64,log_freq,8536.954726606089
4,parent,65,mtld,21.13319238900634
4,parent,65,types,75
4,parent,65,aoa,4.235003778985507
4,parent,65,log_freq,7169.703680022733
6,child,4,mtld,25.481618497109825
6,child,4,types,110
6,child,4,aoa,4.205580855371901
6,child,4,log_freq,5567.288445956895
6,child,7,mtld,16.09090909090909
6,child,7,types,46
6,child,7,aoa,4.233505835051546
6,child,7,log_freq,6460.825146553467
6,child,9,mtld,27.130434782608695
6,child,9,types,103
6,child,9,aoa,4.297071481927711
6,child,9,log_freq,7106.376801322939
6,child,12,mtld,11.14681724845996
6,child,12,types,27
6,child,12,aoa,3.5052600843373494
6,child,12,log_freq,8936.179541696198
6,child,13,mtld,32.498687664041995
6,child,13,types,75
6,child,13,aoa,4.021383459227468
6,child,13,log_freq,6244.610872675251
6,child,31,mtld,30.91131498470948
6,child,31,types,115
6,child,31,aoa,4.267406891129032
6,child,31,log_freq,5979.6560721062615
6,child,32,mtld,20.666666666666668
6,child,32,types,80
6,child,32,aoa,4.169715843478261
6,child,32,log_freq,8144.41125319693
6,child,36,mtld,20.2512371526456
6,child,36,types,73
6,child,36,aoa,4.369644722627737
6,child,36,log_freq,6562.8495777873195
6,child,39,mtld,22.36604189636163
6,child,39,types,53
6,child,39,aoa,4.192652170731708
