iterationName,id,wID,aID,utterance,rt,target_type,competitor_type,target,foil,trial_type,trial_index,time_elapsed,age_group,age,button_pressed,utt_length,clean_utt,informativity
NA,kid_11,11,NA,"plain, blue shirt",8338.2,familiar,close,poloshirt.jpg,hawaiishirt.jpg,NA,43,608964,kid,8,NA,17,plainblueshirt,1
NA,kid_11,11,NA,blue car,4985.9,familiar,close,sedan.jpg,sportscar.jpg,NA,44,614456,kid,8,NA,8,bluecar,1
NA,kid_11,11,NA,someone walking with their arms in their coat,33195.1,tangram,close,B1.jpg,P1.jpg,NA,46,661766,kid,8,NA,45,walkarmincoat,
NA,kid_11,11,NA,someone without an arm,13432.1,tangram,close,H1.jpg,I1.jpg,NA,47,675706,kid,8,NA,22,withoutarm,
NA,kid_11,11,NA,someone kicking something,9704.8,tangram,close,tangram-48.jpg,tangram-187.jpg,NA,48,685919,kid,8,NA,25,kick,
NA,kid_11,11,NA,someone running really fast,9403.1,tangram,close,tangram-55.jpg,N1.jpg,NA,49,695831,kid,8,NA,27,runreallyfast,
NA,kid_11,11,NA,someone trying to look good,14799.5,tangram,close,tangram-90.jpg,tangram-81.jpg,NA,50,711140,kid,8,NA,27,trytolookgood,
NA,kid_11,11,NA,someone sitting down,7332.3,tangram,close,tangram-164.jpg,tangram-183.jpg,NA,51,718981,kid,8,NA,20,sitdown,
NA,kid_11,11,NA,someone in a dress with her arms behind her,17237.2,tangram,close,A2.jpg,tangram-99.jpg,NA,52,736726,kid,8,NA,43,dressarmbehind,
NA,kid_11,11,NA,someone running,10110,tangram,close,tangram-67.jpg,tangram-32.jpg,NA,53,747344,kid,8,NA,15,run,
NA,kid_11,11,NA,polar bear,7966.1,familiar,check,polarbear.jpg,grizzlybear.jpg,NA,55,801777,kid,8,0,10,polarbear,
NA,kid_11,11,NA,shirt,7456.4,familiar,check,dressshirt.jpg,campshirt.jpg,NA,56,809741,kid,8,1,5,shirt,
NA,kid_11,11,NA,dog,7397.6,familiar,check,husky.jpg,dalmatian.jpg,NA,57,817643,kid,8,1,3,dog,
NA,kid_11,11,NA,table,10085,familiar,check,pug.jpg,rabbit.jpg,NA,58,828233,kid,8,1,5,table,
NA,kid_11,11,NA,red flower,8875.4,familiar,check,rose.jpg,daisy.jpg,NA,59,837615,kid,8,0,10,redflower,
NA,kid_11,11,NA,bear,8879.5,familiar,check,firetruck.jpg,ambulance.jpg,NA,60,847000,kid,8,1,4,bear,
NA,kid_11,11,NA,m&ms,6539.6,familiar,check,mnms.jpg,gummybears.jpg,NA,61,854048,kid,8,0,4,mnms,
NA,kid_11,11,NA,cup,7921.8,familiar,check,apple.jpg,pear.jpg,NA,62,862475,kid,8,1,3,cup,
NA,kid_11,11,NA,bird,9875.9,familiar,check,parrot.jpg,pigeon.jpg,NA,63,872858,kid,8,1,4,bird,
NA,kid_12,12,NA,car,14606.1,familiar,far,sedan.jpg,firetruck.jpg,NA,19,783184,kid,6,NA,3,car,1
NA,kid_12,12,NA,bird,7268.5,familiar,far,sparrow.jpg,squirrel.jpg,NA,20,790958,kid,6,NA,4,bird,1
NA,kid_12,12,NA,bear,9993.3,familiar,far,grizzlybear.jpg,lion.jpg,NA,21,801456,kid,6,NA,4,bear,1
NA,kid_12,12,NA,dog,9291.6,familiar,far,germanshepherd.jpg,cow.jpg,NA,22,811255,kid,6,NA,3,dog,1
NA,kid_12,12,NA,jellybeans,18888.5,familiar,far,jellybeans.jpg,pretzels.jpg,NA,23,830648,kid,6,NA,10,jellybeans,1
NA,kid_12,12,NA,shirt,5306.9,familiar,far,poloshirt.jpg,dress.jpg,NA,24,836460,kid,6,NA,5,shirt,1
NA,kid_12,12,NA,fish,4734.9,familiar,far,goldfish.jpg,iguana.jpg,NA,25,841703,kid,6,NA,4,fish,1
NA,kid_12,12,NA,table,4885,familiar,far,diningtable.jpg,wardrobe.jpg,NA,26,847096,kid,6,NA,5,table,1
NA,kid_12,12,NA,shapes,75262.2,tangram,close,tangram-90.jpg,tangram-81.jpg,NA,28,931403,kid,6,NA,6,shape,
NA,kid_12,12,NA,shapes,14085.6,tangram,close,tangram-67.jpg,tangram-32.jpg,NA,29,945993,kid,6,NA,6,shape,
NA,kid_12,12,NA,shapes,25407.4,tangram,close,tangram-48.jpg,tangram-187.jpg,NA,30,971910,kid,6,NA,6,shape,
NA,kid_12,12,NA,running,86408.5,tangram,close,tangram-55.jpg,N1.jpg,NA,31,1058829,kid,6,NA,7,run,
NA,kid_12,12,NA,walking,64683.5,tangram,close,B1.jpg,P1.jpg,NA,32,1124021,kid,6,NA,7,walk,
NA,kid_12,12,NA,i dont know,97508.8,tangram,close,H1.jpg,I1.jpg,NA,33,1222038,kid,6,NA,11,idoknow,
NA,kid_12,12,NA,walking,20594.4,tangram,close,A2.jpg,tangram-99.jpg,NA,34,1243137,kid,6,NA,7,walk,
NA,kid_12,12,NA,jumping,14633.2,tangram,close,tangram-164.jpg,tangram-183.jpg,NA,35,1258277,kid,6,NA,7,jump,
NA,kid_12,12,NA,car,15136,familiar,close,sedan.jpg,sportscar.jpg,NA,37,1284483,kid,6,NA,3,car,0
NA,kid_12,12,NA,fish,13238.5,familiar,close,goldfish.jpg,swordfish.jpg,NA,38,1298230,kid,6,NA,4,fish,0
NA,kid_12,12,NA,dog,10321.6,familiar,close,germanshepherd.jpg,pug.jpg,NA,39,1309060,kid,6,NA,3,dog,0
NA,kid_12,12,NA,bear,5129.6,familiar,close,grizzlybear.jpg,polarbear.jpg,NA,40,1314696,kid,6,NA,4,bear,0
NA,kid_12,12,NA,table,4608.7,familiar,close,diningtable.jpg,picnictable.jpg,NA,41,1319811,kid,6,NA,5,table,0
NA,kid_12,12,NA,jellybeans,5961.1,familiar,close,jellybeans.jpg,gummybears.jpg,NA,42,1326283,kid,6,NA,10,jellybeans,1
NA,kid_12,12,NA,shirt,4765.8,familiar,close,poloshirt.jpg,hawaiishirt.jpg,NA,43,1331561,kid,6,NA,5,shirt,0
NA,kid_12,12,NA,bird,11851.1,familiar,close,sparrow.jpg,eagle.jpg,NA,44,1343919,kid,6,NA,4,bird,0
NA,kid_12,12,NA,shapes,85524.4,tangram,far,A2.jpg,C1.jpg,NA,46,1439099,kid,6,NA,6,shape,
NA,kid_12,12,NA,shapes,7393.1,tangram,far,tangram-90.jpg,tangram-120.jpg,NA,47,1446997,kid,6,NA,6,shape,
NA,kid_12,12,NA,shapes,41387.6,tangram,far,H1.jpg,tangram-8.jpg,NA,48,1488893,kid,6,NA,6,shape,
NA,kid_12,12,NA,running,12014.5,tangram,far,tangram-67.jpg,G1.jpg,NA,49,1501414,kid,6,NA,7,run,
NA,kid_12,12,NA,jumping,8053.6,tangram,far,tangram-164.jpg,tangram-64.jpg,NA,50,1509975,kid,6,NA,7,jump,
NA,kid_12,12,NA,i dont know,16394.4,tangram,far,tangram-48.jpg,D1.jpg,NA,51,1526874,kid,6,NA,11,idoknow,
NA,kid_12,12,NA,shapes,25035.7,tangram,far,tangram-55.jpg,tangram-143.jpg,NA,52,1552417,kid,6,NA,6,shape,
NA,kid_12,12,NA,walking,7047.9,tangram,far,B1.jpg,tangram-4.jpg,NA,53,1559971,kid,6,NA,7,walk,
NA,kid_12,12,NA,dog,16861,familiar,check,husky.jpg,dalmatian.jpg,NA,55,1630290,kid,6,1,3,dog,
NA,kid_12,12,NA,bear,12394.8,familiar,check,firetruck.jpg,ambulance.jpg,NA,56,1643187,kid,6,0,4,bear,
NA,kid_12,12,NA,shirt,12777.7,familiar,check,dressshirt.jpg,campshirt.jpg,NA,57,1656469,kid,6,0,5,shirt,
NA,kid_12,12,NA,polar bear,8262.4,familiar,check,polarbear.jpg,grizzlybear.jpg,NA,58,1665238,kid,6,0,10,polarbear,
NA,kid_12,12,NA,cup,9801.1,familiar,check,apple.jpg,pear.jpg,NA,59,1675542,kid,6,1,3,cup,
NA,kid_12,12,NA,bird,16166.8,familiar,check,parrot.jpg,pigeon.jpg,NA,60,1692212,kid,6,1,4,bird,
NA,kid_12,12,NA,table,10174.4,familiar,check,pug.jpg,rabbit.jpg,NA,61,1702889,kid,6,1,5,table,
NA,kid_12,12,NA,red flower,7888.1,familiar,check,rose.jpg,daisy.jpg,NA,62,1711284,kid,6,0,10,redflower,
NA,kid_12,12,NA,m&ms,11921.8,familiar,check,mnms.jpg,gummybears.jpg,NA,63,1723716,kid,6,0,4,mnms,
NA,kid_13,13,NA,fish,5618.2,familiar,far,goldfish.jpg,iguana.jpg,NA,19,559960,kid,5,NA,4,fish,1
NA,kid_13,13,NA,table,4885,familiar,far,diningtable.jpg,wardrobe.jpg,NA,20,565350,kid,5,NA,5,table,1
NA,kid_13,13,NA,car,4431.3,familiar,far,sedan.jpg,firetruck.jpg,NA,21,570285,kid,5,NA,3,car,1
