iterationName,id,wID,aID,utterance,rt,target_type,competitor_type,target,foil,trial_type,trial_index,time_elapsed,age_group,age,button_pressed,utt_length,clean_utt
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,fish,3265.39,familiar,far,goldfish.jpg,iguana.jpg,survey-text,19,104956,adult,NA,NA,4,fish
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,mnms,2594.935,familiar,isolated,mnms.jpg,gummybears.jpg,survey-text,21,111385,adult,NA,NA,4,mnms
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,dog,2299.8,familiar,isolated,germanshepherd.jpg,pug.jpg,survey-text,22,114215,adult,NA,NA,3,dog
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,tshirt,5813.62,familiar,isolated,poloshirt.jpg,hawaiishirt.jpg,survey-text,23,120541,adult,NA,NA,6,tshirt
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,table,3719.295,familiar,isolated,diningtable.jpg,picnictable.jpg,survey-text,24,124777,adult,NA,NA,5,table
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,car,1886.255,familiar,isolated,sedan.jpg,sportscar.jpg,survey-text,25,127176,adult,NA,NA,3,car
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,fish,2516.095,familiar,isolated,goldfish.jpg,swordfish.jpg,survey-text,26,130216,adult,NA,NA,4,fish
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,bear,2570.745,familiar,isolated,grizzlybear.jpg,polarbear.jpg,survey-text,27,133297,adult,NA,NA,4,bear
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,bird,2577.725,familiar,isolated,sparrow.jpg,eagle.jpg,survey-text,28,136396,adult,NA,NA,4,bird
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,walking,2338.245,tangram,close,B1.jpg,P1.jpg,survey-text,30,141757,adult,NA,NA,7,walk
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,rnning,2027.15,tangram,close,tangram-55.jpg,N1.jpg,survey-text,31,144296,adult,NA,NA,6,rnning
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,jaywalking,7393.67,tangram,close,tangram-48.jpg,tangram-187.jpg,survey-text,32,152216,adult,NA,NA,10,jaywalking
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,holding pot,5116.82,tangram,close,H1.jpg,I1.jpg,survey-text,33,157846,adult,NA,NA,11,holdpot
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,falling,4146.8,tangram,close,tangram-164.jpg,tangram-183.jpg,survey-text,34,162511,adult,NA,NA,7,fall
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,running,5012.845,tangram,close,tangram-67.jpg,tangram-32.jpg,survey-text,35,168036,adult,NA,NA,7,run
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,walking backwards,3723.19,tangram,close,A2.jpg,tangram-99.jpg,survey-text,36,172277,adult,NA,NA,17,walkbackwards
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,walking fast,4954.81,tangram,close,tangram-90.jpg,tangram-81.jpg,survey-text,37,177753,adult,NA,NA,12,walkfast
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,running,2852.5,tangram,isolated,tangram-55.jpg,N1.jpg,survey-text,39,183478,adult,NA,NA,7,run
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,walking back,3046.795,tangram,isolated,A2.jpg,tangram-99.jpg,survey-text,40,187044,adult,NA,NA,12,walkback
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,walking slow,3509.375,tangram,isolated,B1.jpg,P1.jpg,survey-text,41,191079,adult,NA,NA,12,walkslow
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,falling,2806.635,tangram,isolated,tangram-164.jpg,tangram-183.jpg,survey-text,42,194398,adult,NA,NA,7,fall
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,holding something,4185.69,tangram,isolated,H1.jpg,I1.jpg,survey-text,43,199100,adult,NA,NA,17,hold
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,jaywalking,3965.78,tangram,isolated,tangram-48.jpg,tangram-187.jpg,survey-text,44,203578,adult,NA,NA,10,jaywalking
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,running slow,10077.52,tangram,isolated,tangram-90.jpg,tangram-81.jpg,survey-text,45,214187,adult,NA,NA,12,runslow
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,running,2185.245,tangram,isolated,tangram-67.jpg,tangram-32.jpg,survey-text,46,216904,adult,NA,NA,7,run
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,running,5933.595,tangram,far,tangram-90.jpg,tangram-120.jpg,survey-text,48,225509,adult,NA,NA,7,run
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,walking,4134.585,tangram,far,A2.jpg,C1.jpg,survey-text,49,230166,adult,NA,NA,7,walk
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,walking,2649.51,tangram,far,tangram-48.jpg,D1.jpg,survey-text,50,233345,adult,NA,NA,7,walk
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,runing,3767.13,tangram,far,tangram-67.jpg,G1.jpg,survey-text,51,237639,adult,NA,NA,6,runing
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,holding something,4019.645,tangram,far,H1.jpg,tangram-8.jpg,survey-text,52,242179,adult,NA,NA,17,hold
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,falling,2916.14,tangram,far,tangram-164.jpg,tangram-64.jpg,survey-text,53,245610,adult,NA,NA,7,fall
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,walking,2292.42,tangram,far,B1.jpg,tangram-4.jpg,survey-text,54,248424,adult,NA,NA,7,walk
pilot2,adult_2,2,3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV,walking,2359.185,tangram,far,tangram-55.jpg,tangram-143.jpg,survey-text,55,251304,adult,NA,NA,7,walk
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,round colorful,14641.715,familiar,close,mnms.jpg,gummybears.jpg,survey-text,3,90818,adult,NA,NA,14,roundcolor
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,four legs,11110.88,familiar,close,germanshepherd.jpg,pug.jpg,survey-text,4,102444,adult,NA,NA,9,fourleg
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,four doors,17270.035,familiar,close,sedan.jpg,sportscar.jpg,survey-text,5,120225,adult,NA,NA,10,fourdoor
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,brown beak,13823.245,familiar,close,sparrow.jpg,eagle.jpg,survey-text,6,134560,adult,NA,NA,10,brownbeak
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,plain collared,9140.62,familiar,close,poloshirt.jpg,hawaiishirt.jpg,survey-text,7,144219,adult,NA,NA,14,plaincollar
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,brown bear,10669.35,familiar,close,grizzlybear.jpg,polarbear.jpg,survey-text,8,155400,adult,NA,NA,10,brownbear
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,gold fish,7800.96,familiar,close,goldfish.jpg,swordfish.jpg,survey-text,9,163715,adult,NA,NA,9,goldfish
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,brown table,8906.74,familiar,close,diningtable.jpg,picnictable.jpg,survey-text,10,173144,adult,NA,NA,11,browntable
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,light blue,8339.32,familiar,far,poloshirt.jpg,dress.jpg,survey-text,12,187366,adult,NA,NA,10,lightblue
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,colorful,4210.215,familiar,far,mnms.jpg,pretzels.jpg,survey-text,13,192098,adult,NA,NA,8,colorful
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,beak,2902.425,familiar,far,sparrow.jpg,squirrel.jpg,survey-text,14,195521,adult,NA,NA,4,beak
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,orange fish,5519.2,familiar,far,goldfish.jpg,iguana.jpg,survey-text,15,201559,adult,NA,NA,11,orangefish
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,four legs,4585.09,familiar,far,diningtable.jpg,wardrobe.jpg,survey-text,16,206650,adult,NA,NA,9,fourleg
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,grizzly,6435.085,familiar,far,grizzlybear.jpg,lion.jpg,survey-text,17,213611,adult,NA,NA,7,grizzly
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,bark,9099.025,familiar,far,germanshepherd.jpg,cow.jpg,survey-text,18,223222,adult,NA,NA,4,bark
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,family car,10874.9,familiar,far,sedan.jpg,firetruck.jpg,survey-text,19,234613,adult,NA,NA,10,familycar
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,collared shirt,9872.055,familiar,isolated,poloshirt.jpg,hawaiishirt.jpg,survey-text,21,248318,adult,NA,NA,14,collarshirt
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,dining table,9344.39,familiar,isolated,diningtable.jpg,picnictable.jpg,survey-text,22,258183,adult,NA,NA,12,dinetable
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,grizzly,4028.625,familiar,isolated,grizzlybear.jpg,polarbear.jpg,survey-text,23,262728,adult,NA,NA,7,grizzly
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,small bird,10018.8,familiar,isolated,sparrow.jpg,eagle.jpg,survey-text,24,273257,adult,NA,NA,10,smallbird
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,dog,10007.955,familiar,isolated,germanshepherd.jpg,pug.jpg,survey-text,25,283778,adult,NA,NA,3,dog
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,candy,4800.275,familiar,isolated,mnms.jpg,gummybears.jpg,survey-text,26,289102,adult,NA,NA,5,candy
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,fish,1863.185,familiar,isolated,goldfish.jpg,swordfish.jpg,survey-text,27,291477,adult,NA,NA,4,fish
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,car,5062.935,familiar,isolated,sedan.jpg,sportscar.jpg,survey-text,28,297057,adult,NA,NA,3,car
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,balanced square,21058.23,tangram,close,tangram-55.jpg,N1.jpg,survey-text,30,321802,adult,NA,NA,15,balancesquare
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,looking down,4774.785,tangram,close,B1.jpg,P1.jpg,survey-text,31,327093,adult,NA,NA,12,lookdown
pilot2,adult_4,4,3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5,square tilted,11758.33,tangram,close,tangram-48.jpg,tangram-187.jpg,survey-text,32,339365,adult,NA,NA,13,squaretilt
