iterationName,utterance,rt,target_type,competitor_type,target,foil,trial_type,trial_index,time_elapsed,anonymized_id
testing,SA,2064.0000000130385,tangram,isolated,B1.jpg,P1.jpg,survey-text,54,374294,13
testing,NA,24020.690000004834,NA,NA,NA,NA,html-button-response,0,24023,23
testing,NA,7425.965000002179,NA,NA,NA,NA,html-button-response,1,32455,23
testing,thin,19450.324999997974,tangram,close,H1.jpg,Y1.jpg,survey-text,2,52410,23
testing,tall,31220.215000008466,tangram,close,K1.jpg,T1.jpg,survey-text,3,84133,23
testing,big,15673.865000004298,tangram,close,F1.jpg,W1.jpg,survey-text,4,100312,23
testing,jump,5631.664999993518,tangram,close,E1.jpg,F1.jpg,survey-text,5,106448,23
testing,sad,7552.874999993946,tangram,close,B1.jpg,P1.jpg,survey-text,6,114505,23
testing,bald,20338.53999999701,tangram,close,A1.jpg,A2.jpg,survey-text,7,135347,23
testing,bent,7769.795000000158,tangram,close,I1.jpg,J1.jpg,survey-text,8,143620,23
testing,kneel,5434.045000001788,tangram,close,G1.jpg,M1.jpg,survey-text,9,149557,23
testing,NA,2281.3749999913853,NA,NA,NA,NA,html-button-response,10,152341,23
testing,dog,6521.219999995083,familiar,far,germanshepherd.jpg,cow.jpg,survey-text,11,159366,23
testing,chocolate,6674.53000000387,familiar,far,mnms.jpg,pretzels.jpg,survey-text,12,166543,23
testing,fish,2631.22999999905,familiar,far,goldfish.jpg,iguana.jpg,survey-text,13,169679,23
testing,table,2441.3300000014715,familiar,far,diningtable.jpg,wardrobe.jpg,survey-text,14,172623,23
testing,car,1945.544999995036,familiar,far,sedan.jpg,firetruck.jpg,survey-text,15,175072,23
testing,shirt,4281.784999999218,familiar,far,poloshirt.jpg,dress.jpg,survey-text,16,179857,23
testing,bird,2215.299999996205,familiar,far,sparrow.jpg,squirrel.jpg,survey-text,17,182577,23
testing,bear,2616.504999998142,familiar,far,grizzlybear.jpg,lion.jpg,survey-text,18,185697,23
testing,NA,4938.234999994165,NA,NA,NA,NA,html-button-response,19,191137,23
testing,bear,2754.144999998971,familiar,isolated,grizzlybear.jpg,polarbear.jpg,survey-text,20,194394,23
testing,fish,1904.515000001993,familiar,isolated,goldfish.jpg,swordfish.jpg,survey-text,21,196803,23
testing,dog,2977.5250000093365,familiar,isolated,germanshepherd.jpg,pug.jpg,survey-text,22,200283,23
testing,NA,14317.04500000069,NA,NA,NA,NA,html-button-response,0,14320,21
testing,bird,2299.4999999937136,familiar,isolated,sparrow.jpg,eagle.jpg,survey-text,23,203092,23
testing,car,2529.6550000057323,familiar,isolated,sedan.jpg,sportscar.jpg,survey-text,24,206124,23
testing,shirt,1384.1950000060024,familiar,isolated,poloshirt.jpg,hawaiishirt.jpg,survey-text,25,208012,23
testing,NA,5649.26000000014,NA,NA,NA,NA,html-button-response,1,20975,21
testing,candy,4504.904999994324,familiar,isolated,mnms.jpg,gummybears.jpg,survey-text,26,213021,23
testing,table,1585.015000004205,familiar,isolated,diningtable.jpg,picnictable.jpg,survey-text,27,215109,23
testing,NA,1883.0800000141608,NA,NA,NA,NA,html-button-response,28,217494,23
testing,small,5983.76499999722,familiar,close,sparrow.jpg,eagle.jpg,survey-text,29,223982,23
testing,color,17830.205000000205,familiar,far,poloshirt.jpg,dress.jpg,survey-text,2,39323,21
