iterationName,wID,aID,utterance,rt,target_type,competitor_type,target,foil,trial_type,trial_index,time_elapsed
pilot2,ADQHGQF65JJ08,3S4AW7T80C76KG6FA77VASONVG34LE,,4172.299999976531,,,,,html-button-response,29,357047
pilot2,A1HSRWOEK6ZJPR,3LOZAJ85YE2RHW8HKCRVS7MCIBI2X3,man running,2227.5399999925867,tangram,far,tangram-55.jpg,tangram-143.jpg,survey-text,42,197182
pilot2,A3V21KIOQARPV5,3J88R45B2HNN939NMA27OKU5TL7PXA,gold fish,6901.45499999926,familiar,close,goldfish.jpg,swordfish.jpg,survey-text,42,708945
pilot2,A1XFPVU0RMO02S,3ZSANO2JCGW3M9YUEX0FDIZ9C0JFSQ,guy chilling,38681.96499999985,tangram,isolated,tangram-164.jpg,tangram-183.jpg,survey-text,34,659364
pilot2,ADQHGQF65JJ08,3S4AW7T80C76KG6FA77VASONVG34LE,skip,3703.4399999538437,tangram,isolated,tangram-90.jpg,tangram-81.jpg,survey-text,30,361259
pilot2,A1HSRWOEK6ZJPR,3LOZAJ85YE2RHW8HKCRVS7MCIBI2X3,man leaping,2277.8050000197254,tangram,far,tangram-67.jpg,G1.jpg,survey-text,43,199966
pilot2,A1HSRWOEK6ZJPR,3LOZAJ85YE2RHW8HKCRVS7MCIBI2X3,man walking,2236.739999963902,tangram,far,B1.jpg,tangram-4.jpg,survey-text,44,202710
pilot2,ADQHGQF65JJ08,3S4AW7T80C76KG6FA77VASONVG34LE,run,2579.8300000606105,tangram,isolated,tangram-67.jpg,tangram-32.jpg,survey-text,31,364354
pilot2,A1VVR1MBO0AFXG,3AUQQEL7U6ISHX085AMZLYWC52Q0VE,gliding,7577.199999999721,tangram,far,tangram-90.jpg,tangram-120.jpg,survey-text,10,129781
pilot2,A1HSRWOEK6ZJPR,3LOZAJ85YE2RHW8HKCRVS7MCIBI2X3,man running,3022.75499998359,tangram,far,A2.jpg,C1.jpg,survey-text,45,206238
pilot2,A1VVR1MBO0AFXG,3AUQQEL7U6ISHX085AMZLYWC52Q0VE,,3615.0699999998324,,,,,html-button-response,11,133902
pilot2,A1HSRWOEK6ZJPR,3LOZAJ85YE2RHW8HKCRVS7MCIBI2X3,man kicking,2172.034999995958,tangram,far,tangram-164.jpg,tangram-64.jpg,survey-text,46,208918
pilot2,A1HSRWOEK6ZJPR,3LOZAJ85YE2RHW8HKCRVS7MCIBI2X3,,1805.6349999969825,,,,,html-button-response,47,211226
pilot2,ADQHGQF65JJ08,3S4AW7T80C76KG6FA77VASONVG34LE,fast running,9886.800000094809,tangram,isolated,tangram-55.jpg,N1.jpg,survey-text,32,374761
pilot2,A1VVR1MBO0AFXG,3AUQQEL7U6ISHX085AMZLYWC52Q0VE,gliding,6111.705000002985,tangram,isolated,tangram-90.jpg,tangram-81.jpg,survey-text,12,140532
pilot2,A1HSRWOEK6ZJPR,3LOZAJ85YE2RHW8HKCRVS7MCIBI2X3,kicking man,2354.445000004489,tangram,isolated,tangram-48.jpg,tangram-187.jpg,survey-text,48,214086
pilot2,A3V21KIOQARPV5,3J88R45B2HNN939NMA27OKU5TL7PXA,chocolate candy,15962.77499999269,familiar,close,mnms.jpg,gummybears.jpg,survey-text,43,725410
pilot2,A2ONKY3JGB34T3,36WLNQG780ZCZ9HW80UE5B49WBIBE3,seated thinker,20927.2099999981,tangram,close,tangram-164.jpg,tangram-183.jpg,survey-text,44,586719
pilot2,A1HSRWOEK6ZJPR,3LOZAJ85YE2RHW8HKCRVS7MCIBI2X3,man holding,2420.5800000345334,tangram,isolated,H1.jpg,I1.jpg,survey-text,49,217014
pilot2,A1VVR1MBO0AFXG,3AUQQEL7U6ISHX085AMZLYWC52Q0VE,slipping,4368.420000006154,tangram,isolated,tangram-164.jpg,tangram-183.jpg,survey-text,13,145422
pilot2,A4MVHB52FSBUT,3X73LLYYQ23QKSXV1R7TH91G5GQHNG,,26543.60499998438,,,,,external-html,0,26634
pilot2,A1HSRWOEK6ZJPR,3LOZAJ85YE2RHW8HKCRVS7MCIBI2X3,man walking,2078.385000000708,tangram,isolated,B1.jpg,P1.jpg,survey-text,50,219600
pilot2,ADQHGQF65JJ08,3S4AW7T80C76KG6FA77VASONVG34LE,leap,7665.114999981597,tangram,isolated,A2.jpg,tangram-99.jpg,survey-text,33,382949
pilot2,A1HSRWOEK6ZJPR,3LOZAJ85YE2RHW8HKCRVS7MCIBI2X3,man kicking,2619.0300000016578,tangram,isolated,tangram-164.jpg,tangram-183.jpg,survey-text,51,222726
pilot2,A4MVHB52FSBUT,3X73LLYYQ23QKSXV1R7TH91G5GQHNG,,3840.485000022454,,,,,html-button-response,1,30485
