,iterationName,utterance,rt,target_type,competitor_type,target,foil,trial_type,trial_index,time_elapsed,anonymized_id,utt_length,clean_utt
66,testing,skip,5388.95,tangram,isolated,A1.jpg,A2.jpg,survey-text,23,975471,8,4,skip
67,testing,lift,9075.24,tangram,isolated,F1.jpg,W1.jpg,survey-text,24,985051,8,4,lift
68,testing,pray,3755.28,tangram,isolated,H1.jpg,Y1.jpg,survey-text,25,989310,8,4,pray
69,testing,reach,3704.76,tangram,isolated,K1.jpg,T1.jpg,survey-text,26,993517,8,5,reach
70,testing,sit,2853.9,tangram,isolated,G1.jpg,M1.jpg,survey-text,27,996874,8,3,sit
71,testing,shirt,5158.775,familiar,far,poloshirt.jpg,dress.jpg,survey-text,29,1005012,8,5,shirt
72,testing,table,3072.05,familiar,far,diningtable.jpg,wardrobe.jpg,survey-text,30,1008587,8,5,table
73,testing,fish,3481.005,familiar,far,goldfish.jpg,iguana.jpg,survey-text,31,1012572,8,4,fish
74,testing,bear,2882.195,familiar,far,grizzlybear.jpg,lion.jpg,survey-text,32,1015958,8,4,bear
75,testing,bird,3531.205,familiar,far,sparrow.jpg,squirrel.jpg,survey-text,33,1019994,8,4,bird
76,testing,car,4956.37,familiar,far,sedan.jpg,firetruck.jpg,survey-text,35,1060953,8,3,car
77,testing,dog,2975.975,familiar,far,germanshepherd.jpg,cow.jpg,survey-text,36,1064434,8,3,dog
91,testing,lean,7288.825,tangram,close,K1.jpg,T1.jpg,survey-text,39,1134221,8,4,lean
92,testing,leap,4906.075,tangram,close,E1.jpg,F1.jpg,survey-text,40,1139630,8,4,leap
94,testing,sulk,3222.47,tangram,close,B1.jpg,P1.jpg,survey-text,41,1143356,8,4,sulk
96,testing,reach,3343.71,tangram,close,F1.jpg,W1.jpg,survey-text,42,1147203,8,5,reach
98,testing,offer,3312.215,tangram,close,H1.jpg,Y1.jpg,survey-text,43,1151019,8,5,offer
108,testing,bend,3869.11,tangram,close,I1.jpg,J1.jpg,survey-text,45,1197613,8,4,bend
112,testing,small,5944.415,familiar,isolated,sparrow.jpg,eagle.jpg,survey-text,47,1207045,8,5,small
114,testing,colorful,3758.91,familiar,isolated,mnms.jpg,gummybears.jpg,survey-text,48,1211307,8,8,colorful
188,testing,blue,2947.61,familiar,isolated,poloshirt.jpg,hawaiishirt.jpg,survey-text,50,1825500,8,4,blue
191,testing,bear,3767.96,familiar,isolated,grizzlybear.jpg,polarbear.jpg,survey-text,51,1829772,8,4,bear
194,testing,fish,3816.225,familiar,isolated,goldfish.jpg,swordfish.jpg,survey-text,52,1834092,8,4,fish
196,testing,table,4337.05,familiar,isolated,diningtable.jpg,picnictable.jpg,survey-text,53,1838932,8,5,table
198,testing,car,2952.42,familiar,isolated,sedan.jpg,sportscar.jpg,survey-text,54,1842388,8,3,car
436,testing,honda,10846.365,familiar,close,sedan.jpg,sportscar.jpg,survey-text,2,30659,9,5,honda
438,testing,circular,8352.18,familiar,close,mnms.jpg,gummybears.jpg,survey-text,3,39515,9,8,circular
440,testing,brown,4592.145,familiar,close,grizzlybear.jpg,polarbear.jpg,survey-text,4,44610,9,5,brown
442,testing,long,15184.97,familiar,close,diningtable.jpg,picnictable.jpg,survey-text,5,60298,9,4,long
444,testing,orange,6329.905,familiar,close,goldfish.jpg,swordfish.jpg,survey-text,6,67131,9,6,orange
449,testing,monochrome,10456.84,familiar,close,poloshirt.jpg,hawaiishirt.jpg,survey-text,7,78091,9,10,monochrome
451,testing,shepherd,6552.115,familiar,close,germanshepherd.jpg,pug.jpg,survey-text,8,85147,9,8,shepherd
454,testing,small,8000.62,familiar,close,sparrow.jpg,eagle.jpg,survey-text,9,93650,9,5,small
458,testing,standing,6201.765,tangram,far,G1.jpg,N1.jpg,survey-text,11,102891,9,8,stand
459,testing,begging,4384.22,tangram,far,H1.jpg,A2.jpg,survey-text,12,107779,9,7,beg
466,testing,leaning,15020.805,tangram,far,K1.jpg,V1.jpg,survey-text,13,123307,9,7,lean
469,testing,sad,5175.615,tangram,far,B1.jpg,O1.jpg,survey-text,14,128986,9,3,sad
472,testing,running,5081.075,tangram,far,A1.jpg,D1.jpg,survey-text,15,134570,9,7,run
476,testing,asking,7576.92,tangram,far,I1.jpg,R1.jpg,survey-text,16,142651,9,6,ask
479,testing,excited,6608.21,tangram,far,F1.jpg,C1.jpg,survey-text,17,149763,9,7,excite
480,testing,jumping,3520.13,tangram,far,E1.jpg,C2.jpg,survey-text,18,153786,9,7,jump
483,testing,begging,5209.185,tangram,isolated,H1.jpg,Y1.jpg,survey-text,20,161330,9,7,beg
485,testing,jumping,2632.45,tangram,isolated,E1.jpg,F1.jpg,survey-text,21,164466,9,7,jump
488,testing,excited,5052.79,tangram,isolated,F1.jpg,W1.jpg,survey-text,22,170026,9,7,excite
491,testing,standing,4568.09,tangram,isolated,G1.jpg,M1.jpg,survey-text,23,175098,9,8,stand
492,testing,asking,2721.635,tangram,isolated,I1.jpg,J1.jpg,survey-text,24,178322,9,6,ask
495,testing,leaning,3385.32,tangram,isolated,K1.jpg,T1.jpg,survey-text,25,182211,9,7,lean
