"","iterationName","wID","aID","utterance","rt","target_type","competitor_type","target","foil","trial_type","trial_index","time_elapsed","utt_length","clean_utt"
"81","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","running",2852.50000003725,"tangram","isolated","tangram-55.jpg","N1.jpg","survey-text",39,183478,7,"run"
"82","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","walking back",3046.7949998565,"tangram","isolated","A2.jpg","tangram-99.jpg","survey-text",40,187044,12,"walkback"
"83","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","walking slow",3509.37499990687,"tangram","isolated","B1.jpg","P1.jpg","survey-text",41,191079,12,"walkslow"
"84","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","falling",2806.63500004448,"tangram","isolated","tangram-164.jpg","tangram-183.jpg","survey-text",42,194398,7,"fall"
"85","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","holding something",4185.68999995477,"tangram","isolated","H1.jpg","I1.jpg","survey-text",43,199100,17,"holdsomething"
"86","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","jaywalking",3965.77999996953,"tangram","isolated","tangram-48.jpg","tangram-187.jpg","survey-text",44,203578,10,"jaywalking"
"87","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","running slow",10077.519999817,"tangram","isolated","tangram-90.jpg","tangram-81.jpg","survey-text",45,214187,12,"runslow"
"88","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","running",2185.24500005879,"tangram","isolated","tangram-67.jpg","tangram-32.jpg","survey-text",46,216904,7,"run"
"89","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","running",5933.59500006773,"tangram","far","tangram-90.jpg","tangram-120.jpg","survey-text",48,225509,7,"run"
"90","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","walking",4134.58500010893,"tangram","far","A2.jpg","C1.jpg","survey-text",49,230166,7,"walk"
"91","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","walking",2649.50999990106,"tangram","far","tangram-48.jpg","D1.jpg","survey-text",50,233345,7,"walk"
"92","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","runing",3767.13000005111,"tangram","far","tangram-67.jpg","G1.jpg","survey-text",51,237639,6,"runing"
"93","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","holding something",4019.64500010945,"tangram","far","H1.jpg","tangram-8.jpg","survey-text",52,242179,17,"holdsomething"
"94","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","falling",2916.13999987021,"tangram","far","tangram-164.jpg","tangram-64.jpg","survey-text",53,245610,7,"fall"
"95","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","walking",2292.42000007071,"tangram","far","B1.jpg","tangram-4.jpg","survey-text",54,248424,7,"walk"
"96","pilot2",2,"3TAYZSBPLMXJLFMIQ2L8TZ5K3082SV","walking",2359.18499995023,"tangram","far","tangram-55.jpg","tangram-143.jpg","survey-text",55,251304,7,"walk"
"97","pilot2",4,"3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5","round colorful",14641.7150000052,"familiar","close","mnms.jpg","gummybears.jpg","survey-text",3,90818,14,"roundcolorful"
"98","pilot2",4,"3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5","four legs",11110.8799999929,"familiar","close","germanshepherd.jpg","pug.jpg","survey-text",4,102444,9,"fourleg"
"99","pilot2",4,"3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5","four doors",17270.0349999941,"familiar","close","sedan.jpg","sportscar.jpg","survey-text",5,120225,10,"fourdoor"
"100","pilot2",4,"3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5","brown beak",13823.2449999778,"familiar","close","sparrow.jpg","eagle.jpg","survey-text",6,134560,10,"brownbeak"
"101","pilot2",4,"3F6KKYWMNCQ98CSTFVO3QOMIDN1DN5","plain collared",9140.61999999103,"familiar","close","poloshirt.jpg","hawaiishirt.jpg","survey-text",7,144219,14,"plaincollar"
