iterationName,wID,aID,utterance,rt,target_type,competitor_type,target,foil,trial_type,trial_index,time_elapsed
full_sample,70,3EA3QWIZ4JKOB0DZ45BQQK8NKBFTI0,gallop,6495.9999999264255,tangram,isolated,W1.jpg,NA,survey-text,10,51726
full_sample,13,36H9ULYP63JAN6F4R3R1LH8M6HXJFV,dancing,3668,tangram,isolated,tangram-30.jpg,NA,survey-text,13,105748
full_sample,108,3II4UPYCOKWUB95LVNGKUIHN8Z8QDH,swiper,8654.879999994591,tangram,isolated,tangram-114.jpg,NA,survey-text,18,205687
full_sample,70,3EA3QWIZ4JKOB0DZ45BQQK8NKBFTI0,cheer,3675.2049999777228,tangram,isolated,tangram-32.jpg,NA,survey-text,11,55903
full_sample,101,3E337GFOLAXCKW2KHLPBW9PFGG3NG3,women,7489.000000059605,tangram,isolated,tangram-64.jpg,NA,survey-text,9,105784
full_sample,13,36H9ULYP63JAN6F4R3R1LH8M6HXJFV,running,4007,tangram,isolated,tangram-150.jpg,NA,survey-text,14,110259
full_sample,55,3SB4CE2TJWKGMZ3LXRKAYP5AKZZAXX,contemplating,11820.095000002766,tangram,isolated,B1.jpg,NA,survey-text,26,629393
full_sample,108,3II4UPYCOKWUB95LVNGKUIHN8Z8QDH,bower,5311.37000000308,tangram,isolated,tangram-71.jpg,NA,survey-text,19,211503
full_sample,70,3EA3QWIZ4JKOB0DZ45BQQK8NKBFTI0,bend,3764.5699999993667,tangram,isolated,C1.jpg,NA,survey-text,12,60170
full_sample,97,3R6P78PK7L0AF974EHBN58V75YNTG8,director,16606.870000017807,tangram,isolated,tangram-96.jpg,NA,survey-text,15,214301
full_sample,13,36H9ULYP63JAN6F4R3R1LH8M6HXJFV,aching,5396,tangram,isolated,tangram-74.jpg,NA,survey-text,15,116163
full_sample,101,3E337GFOLAXCKW2KHLPBW9PFGG3NG3,human,6229.999999981374,tangram,isolated,tangram-99.jpg,NA,survey-text,10,112515
full_sample,108,3II4UPYCOKWUB95LVNGKUIHN8Z8QDH,reader,4569.264999998268,tangram,isolated,J1.jpg,NA,survey-text,20,216578
full_sample,70,3EA3QWIZ4JKOB0DZ45BQQK8NKBFTI0,pray,2989.549999940209,tangram,isolated,tangram-74.jpg,NA,survey-text,13,63662
full_sample,70,3EA3QWIZ4JKOB0DZ45BQQK8NKBFTI0,sulk,3175.9999999776483,tangram,isolated,B1.jpg,NA,survey-text,14,67340
full_sample,51,3Z4XG4ZF49G23BA60T0W2YZFUBY8XQ,running,18926.015000091866,tangram,isolated,N1.jpg,NA,survey-text,12,175966
full_sample,55,3SB4CE2TJWKGMZ3LXRKAYP5AKZZAXX,frankenstien,10519.905000001076,tangram,isolated,tangram-171.jpg,NA,survey-text,27,640432
full_sample,97,3R6P78PK7L0AF974EHBN58V75YNTG8,runner,6060.924999997951,tangram,isolated,N1.jpg,NA,survey-text,16,220874
