_id,iterationName,wID,aID,utterance,rt,target_type,competitor_type,target,foil,trial_type,trial_index,time_elapsed
ObjectId(602310c4bcc57556719dc619),full_sample2,129,354P56DE9LSQ7GJOWE23PQMS9WR7S4,back,9412.044999975478,tangram,isolated,tangram-146.jpg,NA,survey-text,14,692870
ObjectId(602310cabcc57556719dc61a),full_sample2,129,354P56DE9LSQ7GJOWE23PQMS9WR7S4,still,5346.785000001546,tangram,isolated,M1.jpg,NA,survey-text,15,698730
ObjectId(602310d1bcc57556719dc61c),full_sample2,129,354P56DE9LSQ7GJOWE23PQMS9WR7S4,pda,6193.35499999579,tangram,isolated,tangram-81.jpg,NA,survey-text,16,705437
ObjectId(602310debcc57556719dc61e),full_sample2,59,31Q0U3WYDQ4QDWKUJVNJTPZJJWC17C,person,11027.834999986226,tangram,isolated,A1.jpg,NA,survey-text,2,34912
ObjectId(602310e6bcc57556719dc61f),full_sample2,129,354P56DE9LSQ7GJOWE23PQMS9WR7S4,strawberry,20413.89500000514,catch,NA,catch_trial.jpg,NA,survey-text,17,726357
ObjectId(602310e8bcc57556719dc620),full_sample2,59,31Q0U3WYDQ4QDWKUJVNJTPZJJWC17C,man,9416.079999995418,tangram,isolated,P1.jpg,NA,survey-text,3,44832
ObjectId(602310ebbcc57556719dc621),full_sample2,129,354P56DE9LSQ7GJOWE23PQMS9WR7S4,bft,5024.475000012899,tangram,isolated,tangram-192.jpg,NA,survey-text,18,731898
ObjectId(602310f2bcc57556719dc622),full_sample2,129,354P56DE9LSQ7GJOWE23PQMS9WR7S4,clap,5974.914999998873,tangram,isolated,tangram-53.jpg,NA,survey-text,19,738383
ObjectId(602310f3bcc57556719dc623),full_sample2,59,31Q0U3WYDQ4QDWKUJVNJTPZJJWC17C,falling,10161.859999992885,tangram,isolated,tangram-164.jpg,NA,survey-text,4,55498
ObjectId(602310f8bcc57556719dc624),full_sample2,129,354P56DE9LSQ7GJOWE23PQMS9WR7S4,down,5451.094999996712,tangram,isolated,tangram-183.jpg,NA,survey-text,20,744343
ObjectId(60231101bcc57556719dc625),full_sample2,129,354P56DE9LSQ7GJOWE23PQMS9WR7S4,pray,8162.790000002133,tangram,isolated,H1.jpg,NA,survey-text,21,753014
ObjectId(60231106bcc57556719dc626),full_sample2,129,354P56DE9LSQ7GJOWE23PQMS9WR7S4,sing,5316.570000024512,tangram,isolated,tangram-74.jpg,NA,survey-text,22,758839
ObjectId(6023110ebcc57556719dc627),full_sample2,129,354P56DE9LSQ7GJOWE23PQMS9WR7S4,flow,6715.265000006184,tangram,isolated,tangram-114.jpg,NA,survey-text,23,766066
ObjectId(60231112bcc57556719dc628),full_sample2,129,354P56DE9LSQ7GJOWE23PQMS9WR7S4,sad,4160.275000002002,tangram,isolated,C2.jpg,NA,survey-text,24,770733
ObjectId(60231117bcc57556719dc629),full_sample2,129,354P56DE9LSQ7GJOWE23PQMS9WR7S4,mad,3799.319999990985,tangram,isolated,tangram-44.jpg,NA,survey-text,25,775043
ObjectId(6023111abcc57556719dc62a),full_sample2,129,354P56DE9LSQ7GJOWE23PQMS9WR7S4,tad,3439.6899999992456,tangram,isolated,tangram-90.jpg,NA,survey-text,26,778990
ObjectId(60231120bcc57556719dc62b),full_sample2,129,354P56DE9LSQ7GJOWE23PQMS9WR7S4,wod,5179.924999974901,tangram,isolated,L1.jpg,NA,survey-text,27,784678
ObjectId(60231126bcc57556719dc62c),full_sample2,129,354P56DE9LSQ7GJOWE23PQMS9WR7S4,tod,4843.395000003511,tangram,isolated,K1.jpg,NA,survey-text,28,790030
ObjectId(6023112cbcc57556719dc62d),full_sample2,129,354P56DE9LSQ7GJOWE23PQMS9WR7S4,god,5714.659999997821,tangram,isolated,tangram-150.jpg,NA,survey-text,29,796262
ObjectId(60231133bcc57556719dc62e),full_sample2,129,354P56DE9LSQ7GJOWE23PQMS9WR7S4,had,6850.25499999756,tangram,isolated,tangram-179.jpg,NA,survey-text,30,803620
ObjectId(60231139bcc57556719dc62f),full_sample2,129,354P56DE9LSQ7GJOWE23PQMS9WR7S4,sing,5001.7250000091735,tangram,isolated,tangram-120.jpg,NA,survey-text,31,809163
ObjectId(6023113fbcc57556719dc630),full_sample2,129,354P56DE9LSQ7GJOWE23PQMS9WR7S4,run,5559.219999995548,tangram,isolated,W1.jpg,NA,survey-text,32,815229
ObjectId(60231388bcc57556719dc635),full_sample2,156,3Q8GYXHFEQRVDVG9BZX6C14EWOHC59,good,34816.9999999991,tangram,isolated,tangram-90.jpg,NA,survey-text,2,51201
ObjectId(6023139ebcc57556719dc636),full_sample2,90,3SNLUL3WO5C51E0UPDYDNWMHPENULO,cut,79585.05500014871,tangram,isolated,V1.jpg,NA,survey-text,2,246724
ObjectId(602313a2bcc57556719dc637),full_sample2,90,3SNLUL3WO5C51E0UPDYDNWMHPENULO,va,3544.294999912381,tangram,isolated,C1.jpg,NA,survey-text,3,250788
ObjectId(602313a5bcc57556719dc638),full_sample2,156,3Q8GYXHFEQRVDVG9BZX6C14EWOHC59,horizontal,29049.999999999272,tangram,isolated,tangram-96.jpg,NA,survey-text,3,80756
ObjectId(602313a6bcc57556719dc639),full_sample2,90,3SNLUL3WO5C51E0UPDYDNWMHPENULO,cc,2792.279999703169,tangram,isolated,tangram-81.jpg,NA,survey-text,4,254092
ObjectId(602313a8bcc57556719dc63a),full_sample2,90,3SNLUL3WO5C51E0UPDYDNWMHPENULO,aa,2115.8800004050136,tangram,isolated,tangram-142.jpg,NA,survey-text,5,256720
ObjectId(602313aebcc57556719dc63b),full_sample2,90,3SNLUL3WO5C51E0UPDYDNWMHPENULO,pay,4912.910000421107,tangram,isolated,tangram-103.jpg,NA,survey-text,6,262144
ObjectId(602313b3bcc57556719dc63c),full_sample2,90,3SNLUL3WO5C51E0UPDYDNWMHPENULO,dance,4915.835000574589,tangram,isolated,tangram-53.jpg,NA,survey-text,7,267572
ObjectId(602313b8bcc57556719dc63d),full_sample2,90,3SNLUL3WO5C51E0UPDYDNWMHPENULO,wall,4041.3000006228685,tangram,isolated,tangram-64.jpg,NA,survey-text,8,272127
ObjectId(602313bbbcc57556719dc63e),full_sample2,156,3Q8GYXHFEQRVDVG9BZX6C14EWOHC59,Tangram,20994.99999999898,tangram,isolated,tangram-150.jpg,NA,survey-text,4,102257
ObjectId(602313bcbcc57556719dc63f),full_sample2,90,3SNLUL3WO5C51E0UPDYDNWMHPENULO,run,4260.099999606609,tangram,isolated,tangram-67.jpg,NA,survey-text,9,276898
ObjectId(602313c1bcc57556719dc640),full_sample2,90,3SNLUL3WO5C51E0UPDYDNWMHPENULO,back,4371.945000253618,tangram,isolated,tangram-150.jpg,NA,survey-text,10,281784
ObjectId(602313c5bcc57556719dc641),full_sample2,90,3SNLUL3WO5C51E0UPDYDNWMHPENULO,slow,3609.174999408424,tangram,isolated,tangram-106.jpg,NA,survey-text,11,285903
ObjectId(602313c9bcc57556719dc642),full_sample2,156,3Q8GYXHFEQRVDVG9BZX6C14EWOHC59,horizontal,13496.999999999389,tangram,isolated,tangram-120.jpg,NA,survey-text,5,116273
ObjectId(602313cabcc57556719dc643),full_sample2,90,3SNLUL3WO5C51E0UPDYDNWMHPENULO,fly,4039.37999997288,tangram,isolated,J1.jpg,NA,survey-text,12,290452
ObjectId(602313d0bcc57556719dc644),full_sample2,90,3SNLUL3WO5C51E0UPDYDNWMHPENULO,fast,5489.610000513494,tangram,isolated,R1.jpg,NA,survey-text,13,296451
ObjectId(602313d7bcc57556719dc645),full_sample2,90,3SNLUL3WO5C51E0UPDYDNWMHPENULO,see,6191.654999740422,tangram,isolated,tangram-6.jpg,NA,survey-text,14,303158
ObjectId(602313d9bcc57556719dc646),full_sample2,156,3Q8GYXHFEQRVDVG9BZX6C14EWOHC59,vertical,16118.999999998792,tangram,isolated,A1.jpg,NA,survey-text,6,132900
